timestamp,Roll,Pitch,Yaw,Speed
2025-07-18T17:06:31.089,-4.59,2.85,9.08,0.005
2025-07-18T17:06:31.148,-4.87,2.81,9.2,0.0057
2025-07-18T17:06:31.266,-5.13,2.78,8.93,0.0057
2025-07-18T17:06:31.446,-5.25,2.83,8.84,0.0021
2025-07-18T17:06:31.449,-5.48,2.82,9.07,0.001
2025-07-18T17:06:31.567,-5.8,2.75,8.81,0.0045
2025-07-18T17:06:31.690,-5.85,2.81,8.65,0.0021
2025-07-18T17:06:31.808,-5.91,2.85,7.83,0.0068
2025-07-18T17:06:31.928,-5.9,2.8,8.05,0.005
2025-07-18T17:06:31.986,-5.76,2.82,8.12,0.0014
2025-07-18T17:06:32.048,-5.64,2.84,7.71,0.0014
2025-07-18T17:06:32.167,-5.54,2.85,8.05,0.0014
2025-07-18T17:06:32.288,-5.43,2.86,8.85,0.0014
2025-07-18T17:06:32.346,-5.45,2.81,8.99,0.005
2025-07-18T17:06:32.466,-5.46,2.79,9.12,0.0003
2025-07-18T17:06:32.648,-5.47,2.74,9.28,0.005
2025-07-18T17:06:32.648,-5.38,2.77,9.14,0.0014
2025-07-18T17:06:32.768,-5.28,2.79,9.24,0.0014
2025-07-18T17:06:32.887,-5.31,2.75,9.18,0.005
2025-07-18T17:06:33.006,-5.34,2.7,9.92,0.005
2025-07-18T17:06:33.068,-5.36,2.66,10.53,0.005
2025-07-18T17:06:33.188,-5.28,2.66,11.13,0.0062
2025-07-18T17:06:33.309,-5.38,2.71,10.88,0.0021
2025-07-18T17:06:33.367,-5.29,2.73,11.94,0.0014
2025-07-18T17:06:33.489,-5.21,2.74,11.53,0.0014
2025-07-18T17:06:33.609,-5.14,2.76,10.88,0.0014
2025-07-18T17:06:33.727,-5.08,2.77,11.4,0.0014
2025-07-18T17:06:33.907,-5.01,2.8,10.42,0.0014
2025-07-18T17:06:33.968,-5.07,2.76,10.69,0.005
2025-07-18T17:06:34.026,-5.01,2.77,11.77,0.0062
2025-07-18T17:06:34.086,-4.96,2.77,11.38,0.0062
2025-07-18T17:06:34.207,-4.91,2.8,11.18,0.0014
2025-07-18T17:06:34.446,-4.97,2.76,11.01,0.005
2025-07-18T17:06:34.450,-5.03,2.72,11.51,0.005
2025-07-18T17:06:34.507,-4.96,2.75,11.57,0.0014
2025-07-18T17:06:34.567,-4.9,2.79,11.75,0.0014
2025-07-18T17:06:34.686,-4.93,2.78,11.06,0.0003
2025-07-18T17:06:34.807,-4.73,2.72,11.2,0.0043
2025-07-18T17:06:34.868,-5.13,2.49,11.66,0.0059
2025-07-18T17:06:35.106,-5.04,2.28,11.53,0.0011
2025-07-18T17:06:35.107,-5.16,2.43,11.49,0.0043
2025-07-18T17:06:35.227,-7.14,2.54,11.26,0.0103
2025-07-18T17:06:35.286,-6.81,2.83,10.61,0.0016
2025-07-18T17:06:35.407,-8.2,2.91,9.93,0.0052
2025-07-18T17:06:35.587,-6.7,3.71,9.28,0.0765
2025-07-18T17:06:35.828,-8.16,2.23,9.21,0.0113
2025-07-18T17:06:35.828,-7.08,1.14,11.31,0.0173
2025-07-18T17:06:36.306,-8.76,2.3,11.96,0.0175
2025-07-18T17:06:36.546,-10.98,1.63,19.51,0.0684
2025-07-18T17:06:36.668,-12.96,1.35,26.34,0.0004
2025-07-18T17:06:36.846,-15.69,2.71,32.44,0.0032
2025-07-18T17:06:36.966,-16.82,1.69,38.51,0.0014
2025-07-18T17:06:37.029,-18.19,0.91,44.1,0.0062
2025-07-18T17:06:37.146,-17.21,3.1,49.58,0.0609
2025-07-18T17:06:37.206,-14.33,5.8,55.08,0.145
2025-07-18T17:06:37.507,-13.63,-1.92,26.82,0.0484
2025-07-18T17:06:37.810,2.81,-0.94,24.9,0.1503
2025-07-18T17:06:38.166,11.56,1.15,24.37,0.3084
2025-07-18T17:06:38.228,6.32,-3.35,25.64,0.1015
2025-07-18T17:06:38.229,2.77,-2.72,32.79,0.0154
2025-07-18T17:06:38.646,-0.35,-1.98,39.14,0.0016
2025-07-18T17:06:38.648,-3.16,-0.74,44.89,0.0127
2025-07-18T17:06:38.767,-6.78,-0.22,48.04,0.0198
2025-07-18T17:06:38.767,-9.42,1.21,52.93,0.0498
2025-07-18T17:06:38.827,-7.0,-4.91,28.37,0.113
2025-07-18T17:06:38.948,-5.84,-9.06,23.03,0.0712
2025-07-18T17:06:39.186,-12.71,-9.07,14.89,0.0396
2025-07-18T17:06:39.247,-24.33,-6.56,13.01,0.0246
2025-07-18T17:06:39.369,-8.09,-3.35,11.96,0.0018
2025-07-18T17:06:39.485,-2.76,-2.43,12.16,0.2532
2025-07-18T17:06:39.551,-5.13,-4.22,13.18,0.0011
2025-07-18T17:06:39.726,-8.56,-5.15,14.9,0.0111
2025-07-18T17:06:39.730,-10.51,-4.63,16.02,0.0011
2025-07-18T17:06:40.565,-11.28,-3.51,16.52,0.0132
2025-07-18T17:06:40.685,-13.17,-2.15,16.78,0.0065
2025-07-18T17:06:40.748,-15.87,-0.02,17.8,0.0185
2025-07-18T17:06:40.806,-12.06,1.31,20.51,0.0549
2025-07-18T17:06:40.807,-18.5,1.68,26.11,0.0425
2025-07-18T17:06:41.405,-0.02,2.45,25.66,0.1081
2025-07-18T17:06:41.527,-10.81,1.77,28.42,0.1022
