timestamp,Roll,Pitch,Yaw,Speed
2025-07-18T17:00:47.643,11.37,2.69,7.14,0.0144
2025-07-18T17:00:47.643,4.57,2.96,7.9,0.0003
2025-07-18T17:00:47.879,-2.81,3.13,8.67,0.0043
2025-07-18T17:00:47.881,-8.98,3.09,9.9,0.0069
2025-07-18T17:00:47.883,-14.48,3.2,10.27,0.0043
2025-07-18T17:00:47.941,-19.98,3.21,11.3,0.0032
2025-07-18T17:00:48.062,-24.93,3.21,11.82,0.0032
2025-07-18T17:00:48.121,-29.13,3.15,12.27,0.0027
2025-07-18T17:00:48.241,-32.66,3.12,13.12,0.0032
2025-07-18T17:00:48.362,-36.1,3.03,13.43,0.0027
2025-07-18T17:00:48.483,-39.46,3.05,13.71,0.0043
2025-07-18T17:00:48.842,-42.44,2.98,13.62,0.0032
2025-07-18T17:00:48.843,-45.17,3.1,13.91,0.0004
2025-07-18T17:00:48.844,-48.36,3.12,13.44,0.0036
2025-07-18T17:00:48.846,-50.89,3.03,13.4,0.0068
2025-07-18T17:00:48.961,-51.45,2.94,13.12,0.0025
2025-07-18T17:00:49.082,-52.94,2.9,13.68,0.0038
2025-07-18T17:00:49.202,-54.54,2.82,13.6,0.0032
2025-07-18T17:00:49.262,-55.99,2.83,13.95,0.0043
2025-07-18T17:00:49.442,-57.57,2.89,14.25,0.0048
2025-07-18T17:00:49.445,-59.16,2.86,14.13,0.0031
2025-07-18T17:00:49.620,-60.09,2.85,14.38,0.0032
2025-07-18T17:00:49.681,-60.65,2.78,14.38,0.0027
2025-07-18T17:00:49.804,-60.52,2.48,14.44,0.0055
2025-07-18T17:00:50.043,-60.87,1.62,13.86,0.0062
2025-07-18T17:00:50.044,-63.38,1.04,13.71,0.0075
2025-07-18T17:00:50.580,-65.95,1.05,12.72,0.0118
2025-07-18T17:00:50.581,-57.2,1.06,11.49,0.0083
2025-07-18T17:00:50.760,-42.47,0.86,14.43,0.0027
2025-07-18T17:00:51.002,-23.58,0.24,14.52,0.0125
2025-07-18T17:00:51.420,-5.26,0.03,12.61,0.0017
2025-07-18T17:00:51.422,10.33,-0.13,10.87,0.0085
2025-07-18T17:00:51.425,22.66,0.16,9.17,0.0008
2025-07-18T17:00:51.425,33.38,0.69,7.83,0.0219
2025-07-18T17:00:51.483,46.15,1.37,6.92,0.0073
2025-07-18T17:00:51.483,25.96,2.52,6.64,0.0146
2025-07-18T17:00:51.602,18.76,3.47,6.64,0.0097
2025-07-18T17:00:51.661,6.88,4.15,6.36,0.0092
2025-07-18T17:00:51.782,-1.59,4.52,6.33,0.0036
2025-07-18T17:00:51.900,-10.98,4.8,6.26,0.0036
2025-07-18T17:00:52.079,-19.19,5.14,6.25,0.0039
2025-07-18T17:00:52.140,-25.77,5.53,6.05,0.0044
2025-07-18T17:00:52.323,-33.0,5.88,5.73,0.0045
2025-07-18T17:00:52.324,-41.92,6.1,5.64,0.004
2025-07-18T17:00:52.442,-48.01,6.32,5.94,0.004
2025-07-18T17:00:52.619,-54.47,6.58,6.74,0.0043
2025-07-18T17:00:52.682,-59.12,6.81,7.05,0.0043
2025-07-18T17:00:52.682,-63.49,6.96,7.24,0.004
2025-07-18T17:00:52.861,-67.24,7.16,7.27,0.0043
2025-07-18T17:00:52.864,-69.53,7.31,7.45,0.0042
2025-07-18T17:00:52.983,-71.58,7.44,8.02,0.0042
2025-07-18T17:00:53.160,-74.5,7.57,8.6,0.0043
2025-07-18T17:00:53.222,-77.11,7.69,8.41,0.0043
2025-07-18T17:00:53.403,-79.45,7.79,8.03,0.0043
2025-07-18T17:00:53.404,-81.53,7.89,7.71,0.0043
