timestamp,Roll,Pitch,Yaw,Speed
2025-07-18T17:00:40.845,-5.52,3.92,1.98,0.0078
2025-07-18T17:00:40.904,-5.48,3.92,2.62,0.0078
2025-07-18T17:00:41.085,-5.44,3.92,2.44,0.0078
2025-07-18T17:00:41.088,-5.42,3.92,2.86,0.0078
2025-07-18T17:00:41.205,-5.38,3.92,2.84,0.0078
2025-07-18T17:00:41.386,-5.35,3.93,2.89,0.0029
2025-07-18T17:00:41.444,-5.33,3.93,2.94,0.0078
2025-07-18T17:00:41.506,-5.32,3.93,2.76,0.0078
2025-07-18T17:00:41.626,-5.3,3.93,2.81,0.0078
2025-07-18T17:00:41.684,-5.29,3.93,2.61,0.0078
2025-07-18T17:00:41.806,-5.28,3.94,2.99,0.0078
2025-07-18T17:00:41.927,-5.26,3.94,3.72,0.0078
2025-07-18T17:00:41.985,-5.24,3.93,3.75,0.0078
2025-07-18T17:00:42.106,-5.52,3.89,3.66,0.0025
2025-07-18T17:00:42.166,-5.77,3.86,3.19,0.0073
2025-07-18T17:00:42.287,-5.7,3.87,3.37,0.0078
2025-07-18T17:00:42.405,-5.64,3.88,3.17,0.0078
2025-07-18T17:00:42.464,-5.59,3.88,3.42,0.0078
2025-07-18T17:00:42.588,-5.83,3.86,2.71,0.0073
2025-07-18T17:00:42.708,-5.77,3.86,3.06,0.0078
2025-07-18T17:00:42.824,-5.7,3.86,2.85,0.0078
2025-07-18T17:00:42.884,-5.73,3.77,2.64,0.0066
2025-07-18T17:00:43.008,-5.96,3.75,2.78,0.0073
2025-07-18T17:00:43.066,-6.16,3.74,3.23,0.0073
2025-07-18T17:00:43.186,-6.06,3.77,3.39,0.0078
2025-07-18T17:00:43.246,-5.98,3.8,3.34,0.0078
2025-07-18T17:00:43.365,-6.19,3.8,3.11,0.0073
2025-07-18T17:00:43.485,-5.96,3.89,3.42,0.0089
2025-07-18T17:00:43.547,-5.22,3.91,3.1,0.0037
2025-07-18T17:00:43.666,-6.23,3.73,2.85,0.0056
2025-07-18T17:00:43.786,-6.21,3.69,3.4,0.0017
2025-07-18T17:00:43.967,-6.31,3.78,2.87,0.0084
2025-07-18T17:00:43.968,-6.19,3.8,3.26,0.0078
2025-07-18T17:00:44.084,-6.07,3.8,2.91,0.0078
2025-07-18T17:00:44.144,-5.78,3.75,2.58,0.007
2025-07-18T17:00:44.267,-6.0,3.71,2.06,0.0073
2025-07-18T17:00:44.325,-6.46,3.66,2.32,0.0068
2025-07-18T17:00:44.445,-6.44,3.63,2.5,0.0066
2025-07-18T17:00:44.567,-6.2,3.75,2.49,0.0089
2025-07-18T17:00:44.625,-6.08,3.75,2.81,0.0078
2025-07-18T17:00:44.745,-6.08,3.68,3.37,0.0066
2025-07-18T17:00:44.866,-6.28,3.68,3.45,0.0073
2025-07-18T17:00:44.985,-6.45,3.67,3.21,0.0073
2025-07-18T17:00:45.044,-6.32,3.7,3.02,0.0078
2025-07-18T17:00:45.165,-6.19,3.72,2.95,0.0078
2025-07-18T17:00:45.287,-6.08,3.73,3.24,0.0078
2025-07-18T17:00:45.346,-6.27,3.71,3.26,0.0073
2025-07-18T17:00:45.465,-6.14,3.74,3.04,0.0029
2025-07-18T17:00:45.525,-6.05,3.76,2.94,0.0078
2025-07-18T17:00:45.647,-5.94,3.78,2.96,0.0078
2025-07-18T17:00:45.766,-6.39,3.74,2.75,0.0019
2025-07-18T17:00:45.824,-6.34,3.69,3.12,0.0066
2025-07-18T17:00:45.946,-8.55,3.74,3.51,0.0236
2025-07-18T17:00:46.005,-6.54,4.77,3.47,0.187
2025-07-18T17:00:46.126,0.19,5.36,4.71,0.0036
2025-07-18T17:00:46.247,5.57,5.45,6.67,0.0537
2025-07-18T17:00:46.365,11.14,3.54,9.03,0.2062
2025-07-18T17:00:46.424,16.52,2.06,10.42,0.1576
2025-07-18T17:00:46.547,19.6,0.5,6.46,0.0174
2025-07-18T17:00:46.606,22.66,-1.02,2.36,0.1256
2025-07-18T17:00:46.783,26.46,-2.86,-1.39,0.3478
2025-07-18T17:00:46.905,31.63,-2.33,-4.67,0.078
2025-07-18T17:00:46.907,31.66,-2.91,-8.55,0.0515
2025-07-18T17:00:47.025,29.15,-3.81,-12.35,0.0334
2025-07-18T17:00:47.150,27.88,-4.16,-15.44,0.127
2025-07-18T17:00:47.327,45.57,-2.95,-14.6,0.1034
2025-07-18T17:00:47.445,70.74,-2.21,-14.08,0.0067
2025-07-18T17:00:47.505,59.63,-1.3,-13.08,0.0031
2025-07-18T17:00:47.624,49.06,-0.4,-12.31,0.0036
2025-07-18T17:00:47.745,39.0,0.27,-11.6,0.0072
2025-07-18T17:00:47.809,29.44,0.96,-10.71,0.0078
2025-07-18T17:00:47.926,21.57,1.65,-10.38,0.0032
2025-07-18T17:00:47.986,13.03,2.28,-9.87,0.0082
2025-07-18T17:00:48.105,6.59,2.79,-9.96,0.0077
2025-07-18T17:00:48.226,1.37,3.27,-9.79,0.0027
2025-07-18T17:00:48.286,-4.58,3.74,-9.27,0.0029
2025-07-18T17:00:48.406,-8.49,4.21,-8.44,0.0031
2025-07-18T17:00:48.526,-13.39,4.68,-7.91,0.0082
2025-07-18T17:00:48.646,-17.11,5.1,-7.31,0.0032
2025-07-18T17:00:48.704,-19.95,5.56,-7.41,0.0039
2025-07-18T17:00:48.824,11.75,5.81,-6.57,0.0082
2025-07-18T17:00:48.888,4.74,5.88,-6.41,0.0068
2025-07-18T17:00:49.065,0.58,6.01,-5.98,0.0018
2025-07-18T17:00:49.069,-5.19,6.33,-6.32,0.0082
2025-07-18T17:00:49.186,-10.39,6.63,-6.26,0.0082
2025-07-18T17:00:49.308,-13.9,6.99,-6.21,0.0039
2025-07-18T17:00:49.426,-18.09,7.24,-6.23,0.0037
2025-07-18T17:00:49.486,-22.7,7.43,-6.62,0.0086
2025-07-18T17:00:49.547,-26.13,7.55,-6.52,0.0033
2025-07-18T17:00:49.666,-28.66,7.6,-6.76,0.0028
2025-07-18T17:00:49.785,2.7,7.6,-6.8,0.0033
2025-07-18T17:00:49.906,-4.1,7.7,-6.21,0.0048
2025-07-18T17:00:49.965,22.92,8.21,-5.7,0.0088
2025-07-18T17:00:50.085,21.29,8.76,-4.41,0.014
2025-07-18T17:00:50.265,20.62,8.49,-2.88,0.0017
2025-07-18T17:00:50.268,21.59,8.02,-1.6,0.0034
2025-07-18T17:00:50.385,25.7,7.62,-0.05,0.0084
2025-07-18T17:00:50.444,30.68,7.06,1.52,0.0062
2025-07-18T17:00:50.565,35.2,6.55,2.47,0.009
2025-07-18T17:00:50.685,38.28,5.79,3.72,0.0008
2025-07-18T17:00:50.806,40.6,4.7,4.61,0.0002
2025-07-18T17:00:50.866,42.02,3.85,5.05,0.0075
2025-07-18T17:00:50.925,43.2,3.4,5.95,0.0144
2025-07-18T17:00:51.105,44.07,2.98,6.03,0.0197
2025-07-18T17:00:51.167,44.58,2.54,5.65,0.017
2025-07-18T17:00:51.225,46.83,2.34,5.36,0.0033
2025-07-18T17:00:51.405,48.62,2.08,5.14,0.0009
2025-07-18T17:00:51.465,49.33,2.38,4.88,0.0164
