time,Roll,Pitch,Yaw
17:38:47.384,-27.52,56.29,5.0
17:38:47.414,-26.38,57.12,6.0
17:38:47.446,-25.09,57.95,6.0
17:38:47.504,-23.66,58.81,6.0
17:38:47.536,-22.03,59.74,6.0
17:38:47.568,-20.25,60.72,6.0
17:38:47.594,-18.26,61.74,7.0
17:38:47.626,-16.02,62.8,7.0
17:38:47.656,-13.32,63.89,7.0
17:38:47.686,-10.03,65.0,8.0
17:38:47.747,-5.92,66.14,86.0
17:38:47.778,-0.7,67.23,92.0
17:38:47.804,5.97,68.15,98.0
17:38:47.835,13.79,68.68,10.0
17:38:47.894,22.06,68.63,11.0
17:38:47.894,30.22,68.06,12.0
17:38:47.926,37.34,67.18,13.0
17:38:47.955,42.49,66.22,13.0
17:38:48.017,45.74,65.48,14.0
17:38:48.045,46.66,65.39,14.0
17:38:48.074,45.33,66.25,14.0
17:38:48.139,41.31,67.84,13.0
17:38:48.139,32.89,69.83,12.0
17:38:48.195,19.07,71.39,11.0
17:38:48.196,2.57,71.67,95.0
17:38:48.257,-14.74,70.1,7.0
17:38:48.285,-31.1,66.62,5.0
17:38:48.315,-44.02,61.49,4.0
17:38:48.345,-52.07,55.66,3.0
17:38:48.378,-56.88,50.02,3.0
17:38:48.406,-59.99,45.04,2.0
17:38:48.434,-61.96,41.34,2.0
17:38:48.496,-62.87,39.12,2.0
17:38:48.525,-62.74,38.45,2.0
17:38:48.554,-61.46,39.13,2.0
17:38:48.585,-59.11,40.67,2.0
17:38:48.614,-55.99,42.5,3.0
17:38:48.644,-52.23,44.38,3.0
17:38:48.675,-47.85,46.22,3.0
17:38:48.704,-43.41,47.71,3.0
17:38:48.768,-39.8,48.94,3.0
17:38:48.794,-36.48,50.14,4.0
17:38:48.824,-33.49,51.26,4.0
17:38:48.856,-31.6,52.08,4.0
17:38:48.884,-30.28,52.87,5.0
17:38:48.915,-28.53,53.76,5.0
17:38:48.976,-26.78,54.66,5.0
17:38:49.004,-25.1,55.57,5.0
17:38:49.037,-23.09,56.52,6.0
17:38:49.064,-20.99,57.44,6.0
17:38:49.094,-19.07,58.25,6.0
17:38:49.125,-17.28,58.97,6.0
17:38:49.155,-15.64,59.6,7.0
17:38:49.186,-14.0,60.2,7.0
17:38:49.244,-12.06,60.84,7.0
17:38:49.274,-9.5,61.52,82.0
17:38:49.306,-6.22,62.23,87.0
17:38:49.334,-2.07,62.9,92.0
17:38:49.364,3.11,63.46,99.0
17:38:49.395,9.24,63.68,106.0
17:38:49.424,15.71,63.38,11.0
17:38:49.522,21.98,62.69,12.0
17:38:49.523,27.53,61.88,13.0
17:38:49.545,31.94,61.11,13.0
17:38:49.574,34.87,60.46,14.0
17:38:49.605,36.15,60.22,14.0
17:38:49.635,35.28,60.43,14.0
17:38:49.665,31.89,60.95,14.0
17:38:49.728,25.55,61.53,13.0
17:38:49.754,16.41,61.99,12.0
17:38:49.784,4.8,61.79,113.0
17:38:49.847,-8.07,60.33,10.0
17:38:49.847,-20.47,57.3,8.0
17:38:49.874,-31.32,52.78,7.0
17:38:49.906,-40.2,47.08,6.0
17:38:49.934,-46.09,41.09,5.0
17:38:49.964,-48.96,35.87,5.0
17:38:50.027,-49.57,32.11,5.0
17:38:50.055,-48.04,30.39,5.0
17:38:50.084,-45.57,30.18,5.0
17:38:50.117,-42.68,31.2,5.0
17:38:50.174,-39.4,32.98,5.0
17:38:50.205,-36.32,34.84,5.0
17:38:50.235,-34.23,36.18,5.0
17:38:50.266,-32.03,37.54,6.0
17:38:50.295,-29.93,38.77,6.0
17:38:50.326,-28.62,39.64,6.0
17:38:50.356,-27.75,40.4,6.0
17:38:50.417,-26.79,41.18,6.0
17:38:50.445,-26.14,41.91,7.0
17:38:50.474,-25.84,42.63,7.0
17:38:50.504,-25.4,43.44,7.0
17:38:50.535,-24.68,44.33,7.0
17:38:50.566,-23.9,45.28,7.0
17:38:50.595,-22.93,46.31,7.0
17:38:50.625,-21.78,47.4,7.0
17:38:50.655,-20.5,48.58,8.0
17:38:50.716,-18.98,49.83,8.0
17:38:50.744,-17.1,51.18,8.0
17:38:50.778,-14.88,52.63,8.0
17:38:50.804,-12.29,54.17,9.0
17:38:50.834,-9.26,55.78,95.0
17:38:50.865,-5.46,57.42,99.0
17:38:50.894,-0.76,58.86,10.0
17:38:50.957,4.53,59.9,111.0
17:38:50.984,10.16,60.56,11.0
17:38:51.014,15.5,60.9,12.0
17:38:51.044,19.53,60.93,13.0
17:38:51.135,22.06,60.91,13.0
17:38:51.136,22.96,61.14,13.0
17:38:51.136,22.17,61.73,13.0
17:38:51.168,19.25,62.43,12.0
17:38:51.227,13.71,62.97,12.0
17:38:51.254,5.63,62.96,112.0
17:38:51.285,-3.97,61.98,10.0
17:38:51.314,-14.23,59.75,8.0
17:38:51.345,-23.93,56.31,7.0
17:38:51.380,-32.0,51.87,6.0
17:38:51.405,-38.4,46.77,6.0
17:38:51.435,-43.3,41.61,5.0
17:38:51.496,-47.22,36.81,5.0
17:38:51.524,-50.1,32.96,4.0
17:38:51.554,-51.69,30.44,4.0
17:38:51.586,-51.92,29.51,4.0
17:38:51.616,-51.0,29.87,4.0
17:38:51.645,-49.2,31.05,4.0
17:38:51.674,-47.17,32.63,4.0
17:38:51.703,-44.56,34.61,5.0
17:38:51.795,-41.31,36.61,5.0
17:38:51.824,-38.66,38.33,5.0
17:38:51.825,-36.52,40.0,5.0
17:38:51.854,-34.25,41.65,5.0
17:38:51.884,-32.45,42.92,6.0
17:38:51.917,-31.68,43.9,6.0
17:38:51.944,-30.95,44.88,6.0
17:38:51.974,-30.06,45.83,6.0
17:38:52.035,-29.55,46.65,6.0
17:38:52.064,-29.46,47.42,6.0
17:38:52.094,-29.41,48.24,7.0
17:38:52.124,-29.3,49.1,7.0
17:38:52.155,-29.21,50.02,7.0
17:38:52.184,-29.0,51.02,7.0
17:38:52.214,-28.63,52.1,7.0
17:38:52.276,-28.07,53.26,7.0
17:38:52.304,-27.16,54.55,7.0
17:38:52.335,-25.79,55.99,8.0
17:38:52.366,-23.89,57.53,8.0
17:38:52.394,-21.41,59.2,8.0
17:38:52.454,-18.38,60.95,9.0
17:38:52.486,-14.52,62.74,9.0
17:38:52.514,-9.39,64.46,10.0
17:38:52.545,-2.85,65.92,10.0
17:38:52.574,4.92,66.86,116.0
17:38:52.604,13.17,67.23,12.0
17:38:52.634,21.2,67.1,13.0
17:38:52.664,27.9,66.64,14.0
17:38:52.723,32.44,66.06,14.0
17:38:52.754,34.52,65.7,15.0
17:38:52.784,34.17,65.92,15.0
17:38:52.814,31.08,66.59,14.0
17:38:52.844,24.71,67.51,14.0
17:38:52.874,14.95,68.25,13.0
17:38:52.904,2.25,68.2,117.0
17:38:52.934,-11.63,66.65,1.0
17:38:52.994,-25.15,63.48,8.0
17:38:53.055,-36.79,58.75,7.0
17:38:53.055,-45.42,52.94,6.0
17:38:53.085,-50.81,46.9,5.0
17:38:53.114,-53.88,41.36,5.0
17:38:53.144,-55.52,36.94,4.0
17:38:53.175,-55.92,34.09,4.0
17:38:53.204,-55.01,33.09,4.0
17:38:53.264,-53.04,33.65,4.0
17:38:53.293,-50.73,34.76,5.0
17:38:53.326,-47.85,36.3,5.0
17:38:53.355,-43.9,38.31,5.0
17:38:53.384,-39.83,40.15,5.0
17:38:53.444,-36.62,41.59,6.0
17:38:53.474,-33.77,43.35,6.0
17:38:53.504,-31.16,44.98,6.0
17:38:53.536,-30.0,46.06,6.0
17:38:53.564,-29.74,46.85,7.0
17:38:53.594,-29.38,47.66,7.0
17:38:53.654,-28.99,48.4,7.0
17:38:53.684,-28.9,49.18,7.0
17:38:53.714,-28.6,50.04,7.0
17:38:53.744,-28.09,51.0,8.0
17:38:53.804,-27.34,52.09,8.0
17:38:53.805,-26.31,53.29,8.0
17:38:53.834,-24.99,54.63,8.0
17:38:53.895,-23.18,56.14,8.0
17:38:53.924,-20.68,57.8,9.0
17:38:53.955,-17.36,59.55,9.0
17:38:53.986,-12.93,61.34,9.0
17:38:54.014,-7.07,62.98,10.0
17:38:54.044,-0.11,64.21,11.0
17:38:54.075,7.38,64.9,121.0
17:38:54.105,14.91,65.11,13.0
17:38:54.165,21.46,64.9,13.0
17:38:54.194,26.03,64.42,14.0
17:38:54.224,28.49,63.98,14.0
17:38:54.254,28.48,63.82,14.0
17:38:54.284,25.86,63.94,14.0
17:38:54.434,20.64,64.14,13.0
17:38:54.435,12.77,64.11,13.0
17:38:54.436,2.87,63.48,118.0
17:38:54.494,-7.8,62.04,10.0
17:38:54.495,-17.98,59.69,9.0
17:38:54.496,-26.4,56.7,8.0
17:38:54.524,-32.3,53.43,8.0
17:38:54.556,-36.0,50.19,7.0
17:38:54.584,-38.11,47.25,7.0
17:38:54.614,-39.26,44.86,6.0
17:38:54.674,-39.76,43.11,6.0
17:38:54.704,-38.93,42.56,6.0
17:38:54.734,-37.32,42.86,6.0
17:38:54.764,-35.05,43.82,6.0
17:38:54.794,-32.27,45.19,6.0
17:38:54.826,-29.6,46.68,7.0
17:38:54.854,-27.99,47.76,7.0
17:38:54.914,-26.6,48.72,7.0
17:38:54.946,-25.49,49.59,7.0
17:38:54.974,-24.77,50.37,7.0
17:38:55.004,-24.09,51.16,8.0
17:38:55.034,-23.34,51.92,8.0
17:38:55.094,-22.82,52.67,8.0
17:38:55.094,-22.33,53.43,8.0
17:38:55.155,-21.81,54.21,8.0
17:38:55.184,-21.3,55.04,8.0
17:38:55.214,-20.73,55.94,8.0
17:38:55.246,-20.13,56.92,8.0
17:38:55.274,-19.37,57.99,9.0
17:38:55.304,-18.28,59.21,9.0
17:38:55.335,-16.6,60.57,9.0
17:38:55.394,-14.07,62.07,9.0
17:38:55.424,-10.11,63.62,1.0
17:38:55.455,-4.5,65.03,10.0
17:38:55.484,2.41,66.09,116.0
17:38:55.514,10.09,66.72,12.0
17:38:55.544,17.53,67.06,13.0
17:38:55.604,23.81,67.17,14.0
17:38:55.634,28.49,67.37,14.0
17:38:55.696,31.08,67.95,14.0
17:38:55.696,31.06,69.06,14.0
17:38:55.726,27.29,70.36,14.0
17:38:55.755,19.13,71.43,13.0
17:38:55.785,7.05,71.65,118.0
17:38:55.814,-7.03,70.52,10.0
17:38:55.875,-21.41,67.75,8.0
17:38:55.905,-33.81,63.5,7.0
17:38:55.934,-42.96,58.12,6.0
17:38:55.964,-49.17,52.11,5.0
17:38:55.994,-53.42,46.1,4.0
17:38:56.024,-56.41,40.52,4.0
17:38:56.054,-58.43,36.01,4.0
17:38:56.116,-59.69,32.93,4.0
17:38:56.144,-59.84,31.63,4.0
17:38:56.174,-58.93,31.9,4.0
17:38:56.204,-57.18,33.15,4.0
17:38:56.234,-54.74,34.99,4.0
17:38:56.264,-51.36,37.33,4.0
17:38:56.294,-47.39,39.57,4.0
17:38:56.324,-43.74,41.48,5.0
17:38:56.356,-40.69,43.38,5.0
17:38:56.414,-37.73,45.17,5.0
17:38:56.445,-35.3,46.52,5.0
17:38:56.475,-33.78,47.62,6.0
17:38:56.504,-32.44,48.67,6.0
17:38:56.534,-31.03,49.66,6.0
17:38:56.564,-30.12,50.51,6.0
17:38:56.594,-29.57,51.32,6.0
17:38:56.624,-29.02,52.16,6.0
17:38:56.654,-28.45,53.01,7.0
17:38:56.718,-27.87,53.87,7.0
17:38:56.744,-27.17,54.79,7.0
17:38:56.804,-26.36,55.76,7.0
17:38:56.804,-25.47,56.78,7.0
17:38:56.835,-24.48,57.85,7.0
17:38:56.864,-23.26,58.98,8.0
17:38:56.931,-21.74,60.19,8.0
17:38:56.957,-19.74,61.5,8.0
17:38:56.985,-17.16,62.87,9.0
17:38:57.014,-13.84,64.3,9.0
17:38:57.044,-9.47,65.74,10.0
17:38:57.077,-3.83,67.04,10.0
17:38:57.104,2.83,67.95,114.0
17:38:57.165,10.18,68.4,12.0
17:38:57.194,17.77,68.42,13.0
17:38:57.224,24.58,68.09,13.0
17:38:57.284,30.26,67.55,14.0
17:38:57.285,34.19,67.01,15.0
17:38:57.314,35.88,66.77,15.0
17:38:57.346,35.12,67.0,15.0
17:38:57.404,31.25,67.56,14.0
17:38:57.434,23.77,68.22,14.0
17:38:57.467,12.93,68.52,12.0
17:38:57.494,-0.0,67.86,11.0
17:38:57.524,-13.75,65.7,1.0
17:38:57.554,-26.35,62.02,8.0
17:38:57.584,-36.9,57.05,7.0
17:38:57.614,-44.82,51.26,6.0
17:38:57.675,-50.15,45.4,6.0
17:38:57.706,-53.25,40.13,6.0
17:38:57.733,-54.56,36.0,5.0
17:38:57.763,-53.97,33.52,5.0
17:38:57.793,-51.43,32.69,5.0
17:38:57.823,-47.95,33.09,5.0
17:38:57.883,-44.25,34.47,5.0
17:38:57.915,-40.05,36.38,6.0
17:38:57.943,-36.22,38.1,6.0
17:38:58.005,-33.41,39.6,6.0
17:38:58.005,-30.79,41.02,6.0
17:38:58.034,-28.26,42.19,7.0
17:38:58.064,-26.53,43.09,7.0
17:38:58.098,-25.21,43.97,7.0
17:38:58.123,-23.93,44.8,7.0
17:38:58.183,-23.09,45.55,7.0
17:38:58.215,-22.43,46.29,8.0
17:38:58.244,-21.64,47.12,8.0
17:38:58.275,-20.68,47.98,8.0
17:38:58.304,-19.64,48.88,8.0
17:38:58.364,-18.54,49.8,8.0
17:38:58.393,-17.46,50.7,9.0
17:38:58.427,-16.52,51.57,9.0
17:38:58.453,-15.75,52.41,9.0
17:38:58.484,-15.06,53.26,9.0
17:38:58.513,-14.3,54.13,9.0
17:38:58.543,-13.59,55.03,1.0
17:38:58.573,-12.83,55.97,1.0
17:38:58.603,-11.84,56.99,1.0
17:38:58.633,-10.37,58.11,1.0
17:38:58.693,-8.14,59.31,11.0
17:38:58.723,-4.74,60.48,11.0
17:38:58.753,-0.18,61.41,12.0
17:38:58.813,5.27,62.1,129.0
17:38:58.814,11.16,62.46,13.0
17:38:58.846,16.46,62.59,14.0
17:38:58.904,20.49,62.52,14.0
17:38:58.933,22.69,62.43,15.0
17:38:58.964,22.61,62.42,15.0
17:38:58.993,20.09,62.47,14.0
17:38:59.083,15.31,62.37,14.0
17:38:59.084,8.17,61.95,135.0
17:38:59.084,-0.73,60.9,12.0
17:38:59.113,-10.66,58.8,1.0
17:38:59.173,-20.6,55.52,1.0
17:38:59.203,-29.71,51.14,9.0
17:38:59.233,-37.36,45.93,8.0
17:38:59.265,-43.24,40.43,7.0
17:38:59.293,-47.11,35.35,7.0
17:38:59.323,-49.34,31.37,7.0
17:38:59.353,-49.7,29.15,6.0
17:38:59.413,-47.54,28.37,6.0
17:38:59.443,-43.25,29.04,7.0
17:38:59.473,-38.07,30.73,7.0
17:38:59.504,-32.51,32.74,7.0
17:38:59.533,-28.15,34.32,7.0
17:38:59.563,-24.92,35.95,8.0
17:38:59.595,-22.94,37.23,8.0
17:38:59.623,-21.82,38.21,8.0
17:38:59.685,-21.22,39.09,8.0
17:38:59.713,-20.23,40.0,9.0
17:38:59.743,-19.72,40.77,9.0
17:38:59.773,-19.52,41.55,9.0
17:38:59.803,-19.2,42.35,9.0
17:38:59.833,-18.71,43.19,9.0
17:38:59.863,-18.07,44.11,9.0
17:38:59.923,-17.36,45.09,1.0
17:38:59.953,-16.64,46.15,1.0
17:38:59.983,-15.7,47.33,1.0
17:39:00.013,-14.47,48.63,1.0
17:39:00.045,-12.78,50.05,1.0
17:39:00.073,-10.4,51.56,1.0
17:39:00.133,-6.97,53.01,11.0
17:39:00.166,-2.83,54.14,12.0
17:39:00.196,1.55,54.83,131.0
17:39:00.283,5.81,55.08,137.0
17:39:00.284,9.09,54.92,143.0
17:39:00.285,11.0,54.39,14.0
17:39:00.345,11.16,53.56,15.0
17:39:00.405,9.81,52.59,151.0
17:39:00.405,7.17,51.48,149.0
17:39:00.433,3.46,50.04,144.0
17:39:00.494,-1.54,48.21,13.0
17:39:00.494,-7.59,45.83,13.0
17:39:00.525,-14.19,42.66,1.0
17:39:00.585,-20.89,38.68,1.0
17:39:00.616,-27.04,34.07,1.0
17:39:00.645,-32.2,29.14,9.0
17:39:00.734,-35.89,24.33,9.0
17:39:00.735,-38.22,20.39,8.0
17:39:00.735,-39.69,17.7,8.0
17:39:00.765,-40.2,16.52,8.0
17:39:00.794,-39.68,16.67,8.0
17:39:00.854,-38.35,17.92,8.0
17:39:00.914,-36.43,19.74,8.0
17:39:00.915,-33.63,21.82,8.0
17:39:00.944,-30.65,23.63,9.0
17:39:00.975,-28.44,25.18,9.0
17:39:01.005,-26.55,26.63,9.0
17:39:01.035,-25.09,27.9,9.0
17:39:01.064,-24.41,28.89,1.0
17:39:01.125,-24.14,29.88,1.0
17:39:01.155,-23.5,30.88,1.0
17:39:01.184,-23.07,31.83,1.0
17:39:01.214,-22.75,32.73,1.0
17:39:01.244,-22.36,33.67,1.0
17:39:01.276,-21.83,34.64,1.0
17:39:01.304,-21.21,35.66,1.0
17:39:01.334,-20.42,36.72,1.0
17:39:01.365,-19.61,37.83,1.0
17:39:01.424,-18.75,38.99,1.0
17:39:01.455,-17.82,40.22,1.0
17:39:01.485,-16.73,41.57,1.0
17:39:01.514,-15.38,43.05,1.0
17:39:01.544,-13.57,44.65,1.0
17:39:01.575,-11.1,46.3,1.0
17:39:01.604,-8.03,47.79,13.0
17:39:01.695,-4.68,49.01,14.0
17:39:01.696,-1.26,50.01,14.0
17:39:01.725,1.64,50.72,154.0
17:39:01.757,3.55,51.02,159.0
17:39:01.783,3.98,51.13,161.0
17:39:01.815,3.03,51.12,161.0
17:39:01.874,0.67,50.81,158.0
17:39:01.906,-3.0,50.15,15.0
17:39:01.934,-8.16,48.94,14.0
17:39:01.966,-14.53,46.76,1.0
17:39:01.994,-21.32,43.43,1.0
17:39:02.025,-27.95,39.0,1.0
17:39:02.055,-34.12,33.61,1.0
17:39:02.085,-39.22,27.62,1.0
17:39:02.145,-42.55,21.9,9.0
17:39:02.174,-44.6,17.14,9.0
17:39:02.206,-45.5,13.99,9.0
17:39:02.264,-44.83,12.73,9.0
17:39:02.265,-42.83,12.89,9.0
17:39:02.296,-40.2,14.1,9.0
17:39:02.353,-37.03,15.99,9.0
17:39:02.383,-33.38,17.89,9.0
