time,Roll,Pitch,Yaw
17:39:26.285,-16.53,-3.15,
17:39:26.368,-13.97,-7.23,
17:39:26.674,-132.52,4.71,
17:39:26.762,-141.63,-4.02,
17:39:26.853,-150.59,20.47,
17:39:26.974,-17.6,9.45,6.0
17:39:27.418,-139.09,-7.92,
17:39:27.450,-50.45,-1.6,
17:39:27.572,10.48,2.63,-32.0
17:39:27.752,-68.77,15.9,
17:39:27.874,-113.6,13.25,
17:39:27.930,-139.36,11.72,
17:39:28.048,-161.91,0.35,
17:39:28.173,-40.79,12.06,0.0
17:39:28.258,-12.0,3.35,6.0
17:39:28.649,-152.7,8.05,
17:39:28.772,4.29,-17.86,-3.0
17:39:28.858,-66.29,-8.09,
17:39:28.950,-170.19,-2.36,
17:39:29.129,-147.79,7.5,
17:39:29.129,-141.41,8.07,
17:39:29.248,-140.83,0.99,0.0
17:39:29.337,-85.85,20.64,0.0
17:39:29.431,-12.81,14.7,1.0
17:39:29.938,-36.44,4.8,-3.0
17:39:30.035,-36.14,-3.68,
17:39:30.148,-160.82,-2.26,
17:39:30.302,-129.36,10.14,
17:39:30.418,-130.82,7.64,
17:39:30.452,-141.11,-1.21,
17:39:30.514,-117.18,14.94,
17:39:30.602,2.43,6.84,14.1
17:39:31.169,-40.12,7.83,-2.0
17:39:31.294,-133.79,-8.79,
17:39:31.412,-25.18,12.84,
17:39:31.534,-104.58,8.34,
17:39:31.589,-129.94,7.21,
17:39:31.712,-152.29,2.82,
17:39:31.804,-22.29,7.45,7.0
17:39:31.888,-22.91,15.48,1.0
17:39:32.309,-3.86,1.55,-24.0
17:39:32.399,38.18,4.94,-41.0
17:39:32.494,-25.57,-14.95,
17:39:32.758,-141.54,-3.54,
17:39:32.790,-132.13,4.11,
17:39:32.968,-142.74,4.24,
17:39:32.998,-8.41,6.59,4.8
17:39:33.126,6.87,14.99,12.0
17:39:33.477,-142.94,2.75,
17:39:33.567,9.9,-15.07,-3.0
17:39:33.658,-41.99,-8.2,
17:39:33.778,-159.77,-7.2,
17:39:33.929,-143.07,0.63,
17:39:33.958,-145.78,6.48,
17:39:34.078,-143.26,1.35,
17:39:34.167,-29.86,13.05,0.0
17:39:34.288,-10.38,4.36,11.0
17:39:34.737,-19.95,-3.87,
17:39:34.862,-62.92,0.05,-3.0
17:39:34.949,-145.62,11.62,
17:39:35.099,-73.25,10.83,
17:39:35.130,-128.96,7.61,
17:39:35.218,-135.89,1.3,
17:39:35.340,-132.15,16.8,
17:39:35.428,9.22,17.25,13.0
17:39:35.578,-192.27,9.04,3.0
17:39:35.938,-41.33,-4.95,
17:39:36.028,-29.69,11.74,
17:39:36.333,-139.19,11.02,
17:39:36.447,-142.2,-3.14,
17:39:36.538,-143.32,9.75,2.0
17:39:36.629,-5.62,10.92,8.0
17:39:37.113,-7.99,14.13,-2.0
17:39:37.229,14.68,-3.32,-3.0
17:39:37.412,-31.7,14.19,
17:39:37.527,-119.68,7.48,
17:39:37.617,-145.36,12.5,
17:39:37.713,-154.39,0.09,
17:39:37.827,-38.65,13.97,5.0
17:39:37.922,-5.8,14.34,20.0
17:39:38.307,-122.01,10.0,
17:39:38.397,31.45,-11.48,
17:39:38.607,-21.95,6.13,-1.0
17:39:38.702,-43.67,16.33,
17:39:38.817,-140.66,12.61,
17:39:38.908,-158.34,1.17,
17:39:38.970,-75.1,11.24,8.0
17:39:39.093,-24.65,5.56,21.0
17:39:39.480,1.88,11.88,-9.0
17:39:39.602,31.53,-2.21,-3.0
17:39:39.658,-116.13,-5.62,
17:39:39.777,-107.96,15.15,
17:39:39.869,-88.83,14.68,
17:39:39.988,-126.95,6.89,
17:39:40.081,-142.5,-4.2,
17:39:40.168,-12.87,5.57,10.0
17:39:40.292,5.15,14.28,31.0
17:39:40.654,-167.07,8.22,
17:39:40.801,-36.9,-2.33,
17:39:40.858,-87.5,4.33,-2.0
17:39:40.949,-122.16,9.23,
17:39:41.067,-70.16,20.38,
17:39:41.190,-129.05,9.06,
17:39:41.249,-149.92,-2.61,
17:39:41.367,-27.65,7.97,10.0
17:39:41.458,-15.34,7.62,21.0
17:39:41.849,-158.46,8.22,
17:39:41.944,32.05,-19.19,
17:39:42.151,-31.72,13.66,
17:39:42.237,-66.89,12.72,
17:39:42.333,-122.48,12.61,
17:39:42.454,-149.99,5.32,
17:39:42.599,-29.23,8.71,7.0
17:39:42.658,-2.44,10.25,7.0
17:39:43.049,-191.62,13.33,
17:39:43.108,16.45,-25.86,
17:39:43.320,-143.68,4.87,
17:39:43.409,-87.04,20.4,
17:39:43.530,-114.43,12.17,
17:39:43.620,-156.31,1.04,
17:39:43.708,-9.24,5.08,2.9
17:39:43.828,54.96,13.62,20.0
17:39:44.219,-53.95,8.7,-2.0
17:39:44.343,-35.16,1.39,-3.0
17:39:44.639,-143.17,10.64,
17:39:44.766,-128.56,12.38,
17:39:44.788,21.16,11.73,8.0
17:39:44.910,-30.01,9.81,13.0
17:39:45.088,-92.48,-65.38,
17:39:45.298,-144.48,-2.26,
17:39:45.394,4.14,-19.41,-2.0
17:39:45.508,-44.35,2.22,-2.0
17:39:45.603,-180.16,7.39,
17:39:45.691,-157.63,-2.72,
17:39:45.838,-139.66,0.07,
17:39:45.899,-160.41,4.74,9.0
17:39:45.991,-14.16,6.22,10.0
17:39:46.080,-39.84,4.78,29.0
17:39:46.472,-124.0,8.06,
17:39:46.684,-235.88,-3.3,
17:39:46.802,-135.58,-3.13,
17:39:46.948,18.41,2.41,19.0
17:39:47.100,-29.6,8.92,27.0
17:39:47.158,-181.73,16.0,
17:39:47.579,-23.88,-1.91,
17:39:47.669,-62.25,5.6,-1.0
17:39:47.881,-150.77,-1.68,
17:39:47.969,-120.94,9.11,1.0
17:39:48.089,-129.59,7.24,1.0
17:39:48.178,-23.31,5.09,23.0
