time,Roll,Pitch,Yaw
17:39:11.511,256.64,14.51,2.0
17:39:11.598,252.56,13.75,3.0
17:39:11.781,254.28,13.91,3.0
17:39:11.807,256.94,14.19,2.0
17:39:11.904,257.36,14.3,2.0
17:39:12.048,254.96,13.29,2.0
17:39:12.108,254.65,12.96,2.0
17:39:12.228,257.26,13.46,2.0
17:39:12.321,254.28,12.22,3.0
17:39:12.380,251.69,11.43,3.0
17:39:12.501,253.47,11.63,3.0
17:39:12.619,263.26,12.99,2.0
17:39:12.707,-79.42,15.3,3.0
17:39:12.802,-23.05,6.12,30.0
17:39:12.920,-87.21,17.54,1.0
17:39:13.131,229.36,-17.12,
17:39:13.131,236.82,-5.98,1.0
17:39:13.224,249.32,10.01,2.0
17:39:13.309,-36.5,22.81,4.0
17:39:13.397,-18.05,11.17,6.0
17:39:13.517,12.23,12.48,56.0
17:39:13.609,264.42,13.91,4.0
17:39:13.697,-43.12,22.66,3.0
17:39:13.821,226.19,14.4,2.0
17:39:13.907,225.31,17.72,2.0
17:39:14.000,231.5,12.6,3.0
17:39:14.117,-69.87,21.39,2.0
17:39:14.207,-40.76,20.83,2.0
17:39:14.331,-10.41,9.05,12.0
17:39:14.417,217.42,-29.56,
17:39:14.540,223.72,-29.04,
17:39:14.627,234.31,-23.9,
17:39:14.720,245.46,2.39,42.0
17:39:14.841,0.52,5.12,71.9
17:39:14.929,198.83,-9.63,6.0
17:39:15.047,204.95,-7.9,4.0
17:39:15.139,246.88,15.31,3.0
17:39:15.259,219.37,16.24,3.0
17:39:15.348,226.91,12.13,3.0
17:39:15.442,-3.59,9.82,30.0
17:39:15.557,15.69,4.28,20.0
17:39:15.618,90.53,16.72,11.0
17:39:15.741,230.86,-33.72,
17:39:15.859,231.98,-28.81,
17:39:15.948,221.81,-13.34,
17:39:16.040,-51.48,19.29,6.0
17:39:16.160,220.86,-10.46,
17:39:16.278,232.75,0.28,54.0
17:39:16.370,198.44,0.86,41.0
17:39:16.493,239.68,21.44,3.0
17:39:16.578,-5.28,21.95,36.0
17:39:16.671,224.03,21.6,2.0
17:39:16.791,-8.45,18.7,20.0
17:39:16.878,4.13,-2.72,14.0
17:39:16.938,198.67,-8.71,3.0
17:39:17.117,215.01,-37.37,
17:39:17.148,223.77,-33.3,
17:39:17.241,223.12,-17.0,
17:39:17.358,-37.38,3.43,84.0
17:39:17.448,-2.76,0.06,80.0
17:39:17.570,251.78,9.25,53.0
17:39:17.658,124.83,23.76,4.0
17:39:17.780,-41.91,19.41,3.0
17:39:17.870,220.76,20.07,2.0
17:39:17.994,261.22,16.21,2.0
17:39:18.112,-44.66,19.52,2.0
17:39:18.228,16.57,-0.24,15.0
17:39:18.347,208.46,-19.11,
17:39:18.380,221.22,-27.81,
17:39:18.500,230.97,-24.39,
17:39:18.589,211.33,-17.68,
17:39:18.680,-32.84,-11.21,
17:39:18.799,-80.31,12.7,5.0
17:39:18.862,213.43,-1.7,4.0
17:39:19.007,264.91,18.64,3.0
17:39:19.099,261.56,16.07,3.0
17:39:19.217,247.71,17.79,3.0
17:39:19.338,-0.62,17.21,29.0
17:39:19.367,-41.21,18.97,2.0
17:39:19.517,35.12,12.83,14.0
17:39:19.580,220.31,-26.78,
17:39:19.727,230.15,-29.99,
17:39:19.790,234.38,-26.82,
17:39:19.907,-43.43,10.99,4.0
17:39:20.032,213.33,-23.91,
17:39:20.119,252.95,-34.69,
17:39:20.177,196.45,3.35,38.0
17:39:20.327,234.7,21.71,3.0
17:39:20.387,209.25,19.05,3.0
17:39:20.483,237.2,16.67,2.0
