time,Roll,Pitch,Yaw
16:26:26.048,31.27,75.98,11.0
16:26:26.101,31.01,75.99,11.0
16:26:26.132,31.05,76.07,11.0
16:26:26.163,30.92,76.05,11.0
16:26:26.192,30.41,76.0,11.0
16:26:26.222,30.14,76.02,11.0
16:26:26.251,30.44,75.99,11.0
16:26:26.281,30.43,75.89,11.0
16:26:26.342,30.51,75.88,11.0
16:26:26.373,31.1,75.85,11.0
16:26:26.404,31.33,75.83,11.0
16:26:26.432,31.42,75.85,11.0
16:26:26.462,31.47,75.89,11.0
16:26:26.492,31.69,75.9,12.0
16:26:26.613,31.78,75.98,12.0
16:26:26.642,31.86,75.99,12.0
16:26:26.643,31.63,75.95,12.0
16:26:26.643,31.75,75.96,12.0
16:26:26.671,31.32,75.96,12.0
16:26:26.701,30.48,75.94,11.0
16:26:26.731,30.02,75.97,11.0
16:26:26.821,29.95,75.98,11.0
16:26:26.856,29.48,76.0,11.0
16:26:26.881,29.4,76.06,11.0
16:26:26.882,29.64,76.05,11.0
16:26:26.912,29.6,75.97,11.0
16:26:26.942,29.45,75.98,11.0
16:26:27.061,29.32,75.92,11.0
16:26:27.062,29.21,75.86,11.0
16:26:27.063,29.16,75.89,11.0
16:26:27.182,29.52,75.93,11.0
16:26:27.182,30.03,75.9,12.0
16:26:27.183,30.88,75.92,12.0
16:26:27.183,31.34,75.88,12.0
16:26:27.243,31.41,75.8,12.0
16:26:27.301,31.3,75.78,12.0
16:26:27.302,30.69,75.84,12.0
16:26:27.332,30.1,75.92,12.0
16:26:27.362,29.82,76.06,12.0
16:26:27.392,30.04,76.15,12.0
16:26:27.421,30.46,76.22,12.0
16:26:27.453,31.24,76.25,12.0
16:26:27.482,32.22,76.21,12.0
16:26:27.542,32.89,76.19,12.0
16:26:27.574,33.51,76.24,12.0
16:26:27.602,33.64,76.28,12.0
16:26:27.632,33.37,76.32,12.0
16:26:27.661,32.93,76.41,12.0
16:26:27.722,32.74,76.41,12.0
16:26:27.722,32.48,76.32,12.0
16:26:27.752,32.61,76.28,12.0
16:26:27.812,32.77,76.23,12.0
16:26:27.872,32.55,76.14,12.0
