time,Roll,Pitch,Yaw
17:38:51.695,154.98,19.34,3.0
17:38:51.725,156.99,21.24,3.0
17:38:51.754,159.59,23.12,3.0
17:38:51.785,161.75,24.69,3.0
17:38:51.816,163.49,26.35,3.0
17:38:51.844,165.28,27.94,3.0
17:38:51.905,166.84,29.23,3.0
17:38:51.934,167.41,30.21,3.0
17:38:51.964,167.78,31.15,3.0
17:38:51.994,168.26,32.03,3.0
17:38:52.058,168.4,32.8,3.0
17:38:52.058,168.11,33.57,3.0
17:38:52.084,167.76,34.35,3.0
17:38:52.115,167.48,35.16,3.0
17:38:52.175,167.17,36.01,3.0
17:38:52.204,166.95,36.9,3.0
17:38:52.234,166.87,37.86,3.0
17:38:52.266,166.87,38.91,3.0
17:38:52.294,167.07,40.08,3.0
17:38:52.384,167.53,41.39,3.0
17:38:52.385,168.26,42.85,3.0
17:38:52.385,169.26,44.48,3.0
17:38:52.447,170.49,46.3,3.0
17:38:52.474,171.94,48.3,3.0
17:38:52.504,173.92,50.51,2.0
17:38:52.534,104.71,52.85,2.0
17:38:52.564,36.38,55.23,14.0
17:38:52.594,-31.28,57.43,8.0
17:38:52.655,-98.64,59.31,1.0
17:38:52.685,-166.38,60.76,
17:38:52.714,-163.27,61.78,
17:38:52.744,-161.8,62.48,
17:38:52.774,-162.26,62.83,
17:38:52.804,-164.69,62.82,
17:38:52.865,-97.0,62.4,2.0
17:38:52.894,-31.04,61.24,8.0
17:38:52.926,33.61,59.02,14.0
17:38:52.954,97.9,55.64,21.0
17:38:52.985,162.72,51.08,2.0
17:38:53.015,156.51,45.45,3.0
17:38:53.046,151.87,39.18,3.0
17:38:53.076,148.98,32.95,3.0
17:38:53.134,147.46,27.32,3.0
17:38:53.166,146.78,23.05,3.0
17:38:53.194,146.91,20.38,3.0
17:38:53.224,147.97,19.57,3.0
17:38:53.255,149.81,20.28,3.0
17:38:53.286,151.92,21.44,3.0
17:38:53.314,154.5,22.89,3.0
17:38:53.374,157.72,24.71,3.0
17:38:53.404,160.97,26.4,3.0
17:38:53.435,163.5,27.6,3.0
17:38:53.464,165.61,29.2,3.0
17:38:53.495,167.47,30.71,3.0
17:38:53.524,168.18,31.71,3.0
17:38:53.554,167.99,32.4,3.0
17:38:53.614,167.79,33.12,3.0
17:38:53.645,167.6,33.82,3.0
17:38:53.673,167.08,34.49,3.0
17:38:53.705,166.8,35.26,3.0
17:38:53.735,166.74,36.11,3.0
17:38:53.764,166.8,37.04,3.0
17:38:53.796,167.06,38.03,3.0
17:38:53.824,167.4,39.12,3.0
17:38:53.889,167.94,40.4,3.0
17:38:53.915,168.76,41.89,3.0
17:38:54.004,169.98,43.67,3.0
17:38:54.005,171.7,45.71,2.0
17:38:54.005,102.16,47.99,2.0
17:38:54.034,33.33,50.41,14.0
17:38:54.065,-34.86,52.87,8.0
17:38:54.094,-102.57,55.08,
17:38:54.124,-170.49,56.91,
17:38:54.186,-167.08,58.27,
17:38:54.246,-164.88,59.15,
17:38:54.246,-164.04,59.59,
17:38:54.274,-164.98,59.54,
17:38:54.365,-167.46,59.0,
